reTau,imTau,coneDeficit,margin
0.7277504,0.6394432,1.12799e-13,7.89247e-9
0.7277546,0.6394433,4.08562e-14,1.50081e-9
0.727758,0.6394434,4.44089e-14,2.97498e-9
0.7277606,0.6394439,1.38556e-13,4.51577e-9
0.7277629,0.6394449,8.70415e-14,7.54632e-9
0.7277664,0.6394451,3.01981e-14,3.50737e-9
0.727769,0.6394464,8.43769e-14,4.87508e-10
0.7277698,0.6394469,6.39488e-14,7.00067e-9
0.727772,0.6394481,9.85878e-14,7.75153e-9
0.7277735,0.6394495,9.94760e-14,6.41810e-9
0.7277757,0.6394508,1.19904e-13,7.96357e-9
0.7277796,0.6394511,1.90070e-13,6.45681e-9
0.7277821,0.6394522,6.39488e-14,1.06679e-9
0.727784,0.6394528,4.17444e-14,6.83650e-9
0.7277876,0.6394527,3.73035e-14,2.53728e-10
0.7277919,0.6394518,1.19904e-13,6.66473e-9
0.7277937,0.6394526,6.30607e-14,5.06467e-9
0.7277961,0.6394525,7.81597e-14,4.63422e-9
0.7278003,0.6394519,3.37508e-14,3.49421e-9
0.7278021,0.6394531,6.66134e-14,1.40786e-9
0.7278045,0.6394537,8.88178e-14,2.57826e-9
0.7278066,0.6394537,6.39488e-14,6.13842e-11
0.7278083,0.6394541,1.02141e-13,4.80972e-9
0.7278102,0.6394545,9.41469e-14,2.81329e-9
0.7278123,0.6394548,9.23706e-14,4.75982e-9
0.7278154,0.6394551,5.86198e-14,2.58830e-10
0.7278194,0.6394569,1.03917e-13,9.18024e-9
0.7278213,0.6394568,6.92779e-14,2.63898e-9
0.7278228,0.6394574,5.32907e-14,4.96161e-9
0.7278245,0.639458,5.32907e-14,4.42404e-9
0.7278264,0.6394588,1.56319e-13,3.16489e-9
0.7278286,0.6394595,7.01661e-14,7.22765e-9
0.7278307,0.6394602,1.08358e-13,5.47014e-9
0.7278323,0.6394604,5.50671e-14,8.99807e-10
0.7278342,0.6394607,9.23706e-14,3.84205e-9
0.7278367,0.639461,8.70415e-14,1.82694e-9
0.7278376,0.6394617,5.06262e-14,5.49303e-9
0.7278386,0.6394622,8.52651e-14,3.17321e-9
0.7278401,0.6394627,1.88294e-13,4.06623e-9
0.7278424,0.6394629,6.12843e-14,2.37646e-9
0.7278429,0.6394646,8.61533e-14,4.92540e-9
0.7278456,0.6394654,1.55431e-13,5.69334e-9
0.7278475,0.639466,1.30562e-13,5.85403e-9
0.7278502,0.6394666,4.44089e-14,5.97822e-9
0.7278526,0.6394667,1.01252e-13,3.97541e-10
0.7278544,0.6394674,5.15143e-14,2.77751e-11
0.7278559,0.6394681,1.03029e-13,5.70757e-9
0.7278577,0.6394685,9.59233e-14,3.07838e-9
0.72786,0.6394683,5.50671e-14,7.30409e-9
0.7278618,0.6394693,7.46070e-14,1.12493e-9
0.7278626,0.6394696,1.14575e-13,9.56419e-10
0.7278689,0.6394689,2.66454e-14,6.49817e-9
0.727872,0.6394697,5.15143e-14,3.73673e-10
0.7278743,0.6394698,1.04805e-13,3.78240e-9
0.7278767,0.6394702,7.19425e-14,1.63731e-9
0.7278788,0.6394701,1.03029e-13,2.87870e-9
0.727881,0.6394701,1.52767e-13,1.82087e-9
0.7278827,0.6394702,4.79616e-14,1.44236e-9
0.7278839,0.6394712,7.37188e-14,3.48250e-10
0.7278849,0.6394719,4.17444e-14,8.55816e-10
0.7278855,0.6394729,1.17240e-13,2.37779e-9
0.7278861,0.6394734,6.39488e-14,2.96363e-9
0.7278868,0.6394734,1.35003e-13,2.40566e-9
0.7278878,0.6394735,5.24025e-14,3.00089e-9
0.7278896,0.639474,1.32339e-13,2.07210e-11
0.7278908,0.6394749,3.73035e-14,1.05049e-11
0.7278922,0.6394752,1.11910e-13,2.76702e-9
0.7278932,0.6394752,9.94760e-14,7.37500e-10
0.7278942,0.6394747,1.19016e-13,1.31564e-9
0.7278955,0.639475,9.14824e-14,8.73539e-11
0.7278961,0.6394752,2.01617e-13,1.07219e-9
0.7278965,0.6394753,1.59872e-13,1.33594e-9
0.7278983,0.6394746,1.30562e-13,4.35354e-9
0.7279009,0.6394746,1.84741e-13,2.94264e-9
0.7279025,0.6394749,1.14575e-13,5.37198e-9
0.7279042,0.6394754,1.34115e-13,1.02707e-9
0.7279042,0.6394777,1.14575e-13,2.33166e-9
0.727905,0.6394781,5.32907e-14,3.56701e-9
0.7279071,0.6394779,6.48370e-14,9.73513e-10
0.7279078,0.6394782,9.94760e-14,2.00957e-9
0.72791,0.6394785,4.61853e-14,3.67123e-9
0.7279123,0.6394784,1.31450e-13,2.65221e-9
0.7279132,0.6394782,1.43885e-13,3.54607e-9
0.7279151,0.6394788,8.43769e-14,2.29677e-9
0.7279155,0.6394797,4.70735e-14,3.50681e-9
0.727918,0.6394799,7.10543e-14,3.36175e-9
0.7279202,0.6394799,3.90799e-14,4.94568e-9
0.7279214,0.6394801,9.14824e-14,2.24285e-9
0.7279235,0.6394805,5.86198e-14,5.07345e-9
0.7279252,0.6394802,1.06581e-13,1.11230e-9
0.7279258,0.6394805,1.44773e-13,6.48736e-9
0.7279269,0.6394811,4.44089e-14,2.69975e-9
0.7279284,0.6394812,7.90479e-14,1.13781e-9
0.7279298,0.6394816,1.09246e-13,2.67272e-9
0.7279307,0.6394816,1.26121e-13,5.46541e-10
0.7279326,0.6394816,2.00728e-13,1.46753e-9
0.7279334,0.6394823,2.30926e-13,3.14397e-9
0.7279349,0.6394821,1.29674e-13,2.94769e-9
0.727936,0.639482,1.38556e-13,1.39800e-9
