reTau,imTau,coneDeficit,margin
0,1.034857,8.20677e-13,0.00108055
0,2.280774,2.66454e-15,0.00334159
0,3.607472,3.03757e-13,0.000932171
0,2.629494,2.66454e-15,0.00137144
0,1.666399,1.77636e-15,0.000235169
0,7.467642,7.10543e-15,0.000407758
0,9.034814,1.59872e-14,0.000839364
0,2.439639,1.86517e-14,0.000328613
0,1.020382,4.44089e-15,0.00185139
0,1.019477,3.55271e-15,0.000765302
0,1.011774,1.86517e-14,0.000910111
0,1.028372,1.77636e-15,0.000304465
0,3.277704,3.55271e-15,0.0000865198
0,2.914787,7.99361e-15,0.00190942
0,1.010263,2.66454e-15,0.00115141
0,1.039734,1.58096e-13,0.000195693
0,1.022649,3.10862e-14,0.00153181
0,3.835015,3.55271e-15,0.00240611
0,2.574016,2.04281e-14,0.00382388
0,7.604918,3.28626e-14,0.000589603
0,2.474405,1.08358e-13,0.00245002
0,3.308426,7.99361e-15,0.00235147
0,1.016259,3.55271e-15,0.000259629
0,3.022332,2.66454e-15,0.000274563
0,1.016786,5.32907e-15,0.000931514
0,1.020719,5.84421e-13,0.000716960
0,4.608583,3.55271e-15,0.00103119
0,12.28616,2.39808e-14,0.00123101
0,4.603308,7.99361e-15,0.000619649
0,9.288657,2.39808e-14,0.000559943
0,3.235495,1.92735e-13,0.00359691
0,1.018902,5.32907e-15,0.000266855
0,1.024144,5.32907e-14,0.0000427794
0,1.016027,7.99361e-15,0.000433796
0,13.64146,1.42109e-14,0.00129711
0,2.605598,7.10543e-15,0.00107922
0,1.00518,5.32907e-14,0.000570365
0,5.369437,9.76996e-15,0.00217007
0,2.813681,3.55271e-15,0.000143597
0,7.277499,1.24345e-14,0.000748146
0,1.028715,1.77636e-15,0.000135112
0,4.019738,5.32907e-15,0.00289978
0,5.772675,1.59872e-14,0.00183157
0,1.259504,1.77636e-15,0.000860496
0,1.026531,3.55271e-15,0.000812197
0,1.011257,1.77636e-15,0.00118230
0,1.015482,5.32907e-15,0.000907447
0,6.635337,6.21725e-15,0.00132479
0,3.640772,3.55271e-15,0.000199699
0,1.016573,8.88178e-15,0.00136588
0,2.77019,4.44089e-15,0.00109935
0,3.275744,3.37508e-14,0.00262390
0,1.041613,2.66454e-15,0.000988183
0,1.021524,1.77636e-15,0.000642845
0,1.018361,2.20268e-13,0.00128646
0,1.653117,1.03029e-13,0.00270311
0,1.023475,7.51399e-13,0.00111317
0,1.020112,1.77636e-15,0.000941615
0,1.009229,1.95399e-14,0.00150920
0,5.33308,2.06057e-13,0.000895116
0,1.023251,5.32907e-15,0.000743675
0,1.000915,1.77636e-15,0.000470047
0,6.629633,1.59872e-14,0.0000134497
0,4.172519,5.32907e-15,0.000900261
0,1.024702,3.55271e-15,0.00146883
0,1.017903,2.66454e-15,0.000420222
0,1.472193,3.55271e-15,0.00238009
0,1.018146,1.15463e-14,0.00123264
0,1.012373,1.50990e-14,0.00101144
0,2.630192,3.46390e-13,0.00228685
0,1.029758,2.48690e-14,0.00193588
0,1.01725,3.55271e-15,0.00000417048
0,1.014712,1.06581e-14,0.00149312
0,10.75406,1.68754e-14,0.000147373
0,5.559191,6.21725e-15,0.00212062
0,5.460308,7.10543e-15,0.00117669
0,4.84603,1.15463e-14,0.00170883
0,2.658627,2.66454e-15,0.00325863
0,1.019299,4.88498e-14,0.000235221
0,2.84786,7.10543e-15,0.00122423
0,6.106402,8.88178e-15,0.00113599
0,1.262756,3.55271e-15,0.000758056
0,5.594302,1.15463e-14,0.00149911
0,11.0477,5.32907e-15,0.000899356
0,4.31516,7.99361e-15,0.00147595
0,2.542437,1.77636e-15,0.00100439
0,5.501487,5.32907e-15,0.000578326
0,1.020501,1.77636e-15,0.000247575
0,2.939274,7.10543e-15,0.00382774
0,1.01253,5.32907e-15,0.000662235
0,1.022481,5.32907e-15,0.0000588461
0,4.409159,4.44089e-15,0.00236037
0,4.363011,7.10543e-15,0.00217702
0,17.05293,1.06581e-14,0.00000750869
0,1.030017,3.43725e-13,0.000590987
0,1.023159,8.88178e-16,0.00146684
